economy,current_account_gdp,fdi_net_inflows_gdp,external_debt_gni,total_reserves,inflation,gdp_growth,year
ITA,2.46140246001819,1.35957350873308,,135133283786.776,-0.09401665691575,1.23622108511661,2016
ITA,2.47968309636806,0.44334154868577,,151120440050.073,1.22653316645812,1.60369995294101,2017
ITA,2.57144669559437,2.10769610409512,,152361936421.553,1.13748763600391,0.826646712344115,2018
ITA,3.23388196417885,1.77066894209208,,175397954131.108,0.611246943765304,0.429162533780342,2019
ITA,3.9369545603398,-0.893869914296462,,210687330553.17,-0.13770757391651,-8.86822122185345,2020
ITA,2.03966459401318,1.20474315612308,,227478327159.257,1.87378325762481,8.93106210800055,2021
ITA,-1.82962143546248,2.94181405797187,,224580577612.139,8.20128991161718,4.82117669913565,2022
ITA,0.224243443277791,1.8137542726883,,247396384253.983,5.62219442195901,0.975694840127005,2023
JPN,3.07027965906978,0.118161987748241,,1233097790281.8,0.795279630579839,1.56062669680782,2015
JPN,3.93809128404803,0.818481615264516,,1216518779919.68,-0.127258844489754,0.753826745789127,2016
JPN,4.12036966283799,0.381319638034272,,1264140980383.63,0.484199796126385,1.67533175173359,2017
JPN,3.51661817468288,0.501685482403774,,1270467038786.78,0.989094598021848,0.643391023533141,2018
JPN,3.45076611445327,0.780785313301259,,1322443255598.64,0.46877615938395,-0.402169200894946,2019
JPN,2.96847858242383,1.23830386396694,,1390808939303.36,-0.024995834027731,-4.16876457146743,2020
JPN,3.89996604353178,0.695100892094565,,1405748991418.92,-0.233352779398264,2.69657404187188,2021
JPN,2.11637961936876,1.12971840820326,,1227573263129.26,2.49770278172255,0.941998775483285,2022
JPN,3.71672795030716,0.474278368651713,,1294636035263.82,3.26813365933163,1.47503481053384,2023
KEN,-6.30459656347733,0.883799936312692,31.3058278228131,7514864907.05536,6.58215429284779,4.96772112759767,2015
KEN,-5.3970086381703,0.627591266355583,28.5315668521598,7553884912.6237,6.29724953814625,4.21351706814744,2016
KEN,-6.99683322084958,1.64083690398642,33.4901470475528,7325420063.33911,8.00564967709945,3.83795817364721,2017
KEN,-5.41106679141752,0.832686217791619,34.6140434138868,8164380806.22987,4.6898064677633,5.64794640709219,2018
KEN,-5.23852935907811,0.468168547481475,35.4042862038635,9115806005.21186,5.23963795764792,5.11415885767801,2019
KEN,-3.26911007065289,-0.00536845439351621,38.0454096339675,8297263558.90541,5.40516207933392,-0.272766327438816,2020
KEN,-4.5990081153926,0.382593996518954,38.1042168095825,9490896580.9297,6.10793603659176,7.59048947333467,2021
KEN,-4.19995258299621,0.691645983068062,36.8769031537885,7969488013.00049,7.65986268272224,4.85998104287999,2022
KEN,-2.54552534327701,0.472521238226254,40.4232521954815,7341776189.84466,7.67139634029402,5.71999241214208,2023
KOR,6.82937629347486,0.266636382581676,,366707257929.029,0.70633177245575,2.92029267301234,2015
KOR,6.20103649558332,0.766507046338007,,370154204332.626,0.971685739912168,3.17152748983935,2016
KOR,4.39896168114518,1.04741749331971,,388804901513.924,1.94433230786366,3.433191763972,2017
KOR,4.24648147146115,0.66781363782051,,403082233385.987,1.47583935002645,3.17611568177327,2018
KOR,3.40802631398853,0.550202642546341,,408819161841.749,0.383000303608136,2.31380210595475,2019
KOR,4.35201499780346,0.502554290313687,,443462937570.176,0.537288023411737,-0.700242317542106,2020
KOR,4.38797327644752,1.13577953855347,,463281305723.059,2.49833333333339,4.61296795454287,2021
KOR,1.43543011179305,1.39186469730544,,423365991593.016,5.08951365062842,2.72756456708991,2022
KOR,1.77914588984233,1.03221435142435,,420930029064.025,3.5974562502901,1.58301467403629,2023
MEX,-2.59917628210589,2.98783786595647,45.4803129174973,177596632552.624,2.72064064964023,2.70232342550646,2015
MEX,-2.27311198277187,3.49768027047347,50.2965927131738,177973637254.61,2.8217078474766,1.77249323845399,2016
MEX,-1.79746290774801,2.78307493352174,49.85860000761,175469669183.544,6.04145724018986,1.87172853327193,2017
MEX,-2.06414074457574,3.01417850463095,49.1902287834628,176390278595.584,4.89935015356551,1.97208209405635,2018
MEX,-0.296844402044544,2.29651449578107,48.7169187460769,183056094117.556,3.63596142127046,-0.392690505066824,2019
MEX,2.39690767800282,2.81338849125769,56.8349663684666,199069188921.046,3.39683415570006,-8.35403458167995,2020
MEX,-0.346548814054211,2.70547578986932,46.8965782589805,207799490381.042,5.68920847683753,6.0484834621255,2021
MEX,-1.28978094141973,2.6714140927358,40.8971913213688,201118689946.087,7.8962761916855,3.70975709163623,2022
MEX,-0.700390860917119,1.70739186154278,34.0722892134803,214316827085.02,5.52796087314389,3.35354140652768,2023
NGA,-3.13140101186134,0.621501637000126,9.37394526748953,29011450144.31,9.00943498007706,2.65269329543001,2015
NGA,1.25472098152786,0.853395742751916,10.978230289557,28020197619.3379,15.6968126387972,-1.61686894906509,2016
NGA,3.60982550121523,0.642182922336257,17.7307590012602,40499220796.3652,16.5022662139641,0.805886619102438,2017
NGA,1.72693303668361,0.183821495682229,16.9165675219792,42838869124.791,12.0951065173432,1.92275734200614,2018
NGA,-2.04801100743442,0.344961215904222,17.479665389895,38335890478.7729,11.3964223378116,2.20842927714892,2019
NGA,-2.67061135743196,0.398484830422215,20.4924439613801,36729565817.615,13.2460234276597,-6.36889840510109,2020
NGA,-0.534215770594035,0.543909122152652,22.2682603874306,40476363167.0316,16.9528457221608,1.10925253938163,2021
NGA,0.157446238586316,-0.0288727652154093,22.1867351582616,35563949955.4969,18.8471877843274,4.31882949523192,2022
NGA,1.31788745937756,0.384195197914633,29.036832236491,32034797236.9329,24.659550203114,3.32684556421316,2023
PAK,-0.934446742353906,0.557734356032139,23.250373675072,20027864211.2597,2.52932817254229,4.21794209572506,2015
PAK,-2.29279660651385,0.821349998064174,24.3711794392753,22027605269.5237,3.7651191635658,6.57383828511043,2016
PAK,-4.76985760466006,0.735837049658425,27.8523788602803,18455861310.286,4.08537368032608,4.43262590683975,2017
PAK,-5.29556175645778,0.487745750658143,28.5494742437705,11837177725.8521,5.07805725868917,6.15170261099519,2018
PAK,-2.66677325730292,0.696146480411465,34.9183625831205,16586046186.2171,10.5783618004555,2.49763692943365,2019
PAK,-0.216650637871501,0.684695289874347,39.9870693569552,18521734363.9531,9.73999313898155,-1.27408744338709,2020
PAK,-3.52439577565177,0.616039439073827,37.9965494190867,22811522857.5295,9.49621056124947,6.51388575852702,2021
PAK,-3.25858181478804,0.389980753542853,34.5202602197744,9926587077.28489,19.8738599646655,4.7781068690358,2022
PAK,-0.308630136387274,0.608281270820624,39.4498353457572,13730353485.3454,30.7681280657005,-0.414935997088406,2023
PHL,2.37094985955594,1.84018010717942,23.3400182272902,80640411491.447,0.674192536845408,6.34830971672761,2015
